ID_Credito,Modelo,Monto_prestamo,EntidadFederativa,ActividadEconomica,FLG_Empleo,IngresoMensual,Propiedad_Casa,Default_Crediticio,,,
2380021,MARCH,228200,TAMAULIPAS,ESTUDIANTE,0,1,PROPIETARIO,1,,,
2387042,MARCH,233900,MORELOS,ESTUDIANTE,0,15000,PROPIETARIO,1,,,
2398122,VERSA,272400,BAJA CALIFORNIA NORTE,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2406091,VERSA,213800,ZACATECAS,ECONOMIA INFORMAL,0,15000,FAMILIA O PADRES,1,,,
2409049,VERSA,289000,CIUDAD DE MEXICO,TAXISTA,0,1,FAMILIA O PADRES,1,,,
2425106,MARCH,214596,COAHUILA,TAXISTA,0,23000,FAMILIA O PADRES,1,,,
2302104,VERSA,210201,PUEBLA,ECONOMIA INFORMAL,0,25000,PROPIETARIO,1,,,
2303068,SENTRA,283601,JALISCO,EMPLEADO PRIVADO,0,6800,FAMILIA O PADRES,1,,,
2309120,VERSA,244502,SAN LUIS POTOSI,TAXISTA,0,28000,PROPIETARIO,1,,,
2312001,VERSA,247700,JALISCO,EMPLEADO PRIVADO,0,2500,RENTADA,1,,,
2312006,VERSA,189400,ESTADO DE MEXICO,TAXISTA,0,12000,FAMILIA O PADRES,1,,,
2312025,VERSA,245301,CHIHUAHUA,EMPLEADO PRIVADO,0,18000,FAMILIA O PADRES,1,,,
2312069,VERSA,225700,ESTADO DE MEXICO,NEGOCIO PROPIO,0,25000,FAMILIA O PADRES,1,,,
2313055,URVAN,445310,ESTADO DE MEXICO,TAXISTA,0,30000,FAMILIA O PADRES,1,,,
2313065,URVAN,410310,PUEBLA,TAXISTA,0,40000,PROPIETARIO,1,,,
2317035,NP300,287000,HIDALGO,TAXISTA,0,5700,FAMILIA O PADRES,1,,,
2320031,VERSA,215701,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,17655,PROPIETARIO,1,,,
2320082,VERSA,153502,QUERETARO,EMPLEADO PRIVADO,0,0,FAMILIA O PADRES,1,,,
2321040,VERSA,250301,SONORA,OTROS,0,18000,FAMILIA O PADRES,1,,,
2321117,VERSA,255602,ESTADO DE MEXICO,TAXISTA,0,1000,PROPIETARIO,1,,,
2329091,MARCH,188801,SINALOA,ESTUDIANTE,0,4000,FAMILIA O PADRES,1,,,
2332047,MARCH,226901,MORELOS,ESTUDIANTE,0,0,PROPIETARIO,1,,,
2338028,VERSA,255602,JALISCO,EMPLEADO PRIVADO,0,3000,PROPIETARIO,1,,,
2340067,MARCH,189902,GUANAJUATO,ECONOMIA INFORMAL,0,120,FAMILIA O PADRES,1,,,
2344097,VERSA,217601,JALISCO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2347016,MARCH,211902,DURANGO,EMPLEADO PRIVADO,0,10000,PROPIETARIO,1,,,
2352041,VERSA,195601,MICHOACAN,TAXISTA,0,180,FAMILIA O PADRES,1,,,
2353027,MARCH,211902,TAMAULIPAS,TAXISTA,0,23000,FAMILIA O PADRES,1,,,
2354075,MARCH,211902,GUERRERO,TAXISTA,0,30000,PROPIETARIO,1,,,
2355065,NP300,359201,PUEBLA,EMPLEADO PRIVADO,0,25000,PROPIETARIO,1,,,
2367010,NP300,320400,HIDALGO,NEGOCIO PROPIO,0,40000,PROPIETARIO,1,,,
2369026,VERSA,255602,JALISCO,EMPLEADO PRIVADO,0,7000,PROPIETARIO,1,,,
2385003,VERSA,229801,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2387008,VERSA,243100,CIUDAD DE MEXICO,NEGOCIO PROPIO,0,30000,FAMILIA O PADRES,1,,,
2388116,MARCH,216600,COAHUILA,EMPLEADO PRIVADO,0,12000,PROPIETARIO,1,,,
2389080,VERSA,286500,JALISCO,EMPLEADO PRIVADO,0,4500,PROPIETARIO,1,,,
2392062,VERSA,186700,GUANAJUATO,EMPLEADO PRIVADO,0,16000,FAMILIA O PADRES,1,,,
2396084,URVAN,462300,ESTADO DE MEXICO,TAXISTA,0,45000,FAMILIA O PADRES,1,,,
2399056,VERSA,201700,JALISCO,EMPLEADO PRIVADO,0,5000,RENTADA,1,,,
2399107,VERSA,272400,BAJA CALIFORNIA NORTE,EMPLEADO PRIVADO,0,2850,RENTADA,1,,,
2401085,VERSA,244000,JALISCO,EMPLEADO PRIVADO,0,0,RENTADA,1,,,
2408059,MARCH,166000,SONORA,OTROS,0,22000,FAMILIA O PADRES,1,,,
2409093,VERSA,273200,CHIHUAHUA,EMPLEADO PRIVADO,0,13000,RENTADA,1,,,
2412063,VERSA,296501,JALISCO,EMPLEADO PRIVADO,0,2500,RENTADA,1,,,
2413031,VERSA,299400,ZACATECAS,EMPLEADO PRIVADO,0,2400,RENTADA,1,,,
2418005,VERSA,289800,CHIHUAHUA,EMPLEADO PRIVADO,0,2000,PROPIA (PAGANDO),1,,,
2423123,VERSA,289800,DURANGO,EMPLEADO PRIVADO,0,1200,PROPIETARIO,1,,,
2424105,VERSA,295800,JALISCO,OTROS,0,20000,RENTADA,1,,,
2425001,VERSA,260600,JALISCO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2429086,NP300,346803,ESTADO DE MEXICO,ECONOMIA INFORMAL,0,50000,FAMILIA O PADRES,1,,,
2429118,VERSA,291700,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,PROPIETARIO,1,,,
2430068,VERSA,305400,JALISCO,EMPLEADO PRIVADO,0,3597,PROPIETARIO,1,,,
2432104,VERSA,263520,SINALOA,NEGOCIO PROPIO,0,0,FAMILIA O PADRES,1,,,
2433093,MARCH,238600,BAJA CALIFORNIA NORTE,OTROS,0,16000,PROPIETARIO,1,,,
2435015,VERSA,274500,ESTADO DE MEXICO,TAXISTA,0,29000,FAMILIA O PADRES,1,,,
2294074,VERSA,240500,JALISCO,EMPLEADO PRIVADO,0,7000,RENTADA,1,,,
2303004,VERSA,209301,DURANGO,EMPLEADO PRIVADO,0,0,PROPIETARIO,1,,,
2313011,VERSA,225700,CIUDAD DE MEXICO,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2314058,URVAN,407700,HIDALGO,TAXISTA,0,37000,PROPIETARIO,1,,,
2315097,MARCH,201901,DURANGO,EMPLEADO PRIVADO,0,7000,PROPIETARIO,1,,,
2317080,VERSA,247700,HIDALGO,TAXISTA,0,6000,FAMILIA O PADRES,1,,,
2318074,VERSA,210201,TAMAULIPAS,TAXISTA,0,18500,PROPIETARIO,1,,,
2321003,VERSA,211400,JALISCO,EMPLEADO PRIVADO,0,1500,FAMILIA O PADRES,1,,,
2321016,VERSA,211774,ESTADO DE MEXICO,TAXISTA,0,2500,PROPIETARIO,1,,,
2321121,MARCH,201901,TAMAULIPAS,TAXISTA,0,18000,FAMILIA O PADRES,1,,,
2324071,VERSA,272001,JALISCO,TAXISTA,0,2400,FAMILIA O PADRES,1,,,
2326007,MARCH,201901,VERACRUZ,EMPLEADO PRIVADO,0,6478,FAMILIA O PADRES,1,,,
2326054,VERSA,245300,CHIHUAHUA,OTROS,0,250,FAMILIA O PADRES,1,,,
2327040,VERSA,228301,JALISCO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2328075,VERSA,255602,CIUDAD DE MEXICO,TAXISTA,0,2300,FAMILIA O PADRES,1,,,
2331038,VERSA,211400,VERACRUZ,TAXISTA,0,0,FAMILIA O PADRES,1,,,
2331063,SENTRA,289601,DURANGO,EMPLEADO PRIVADO,0,3000,PROPIETARIO,1,,,
2333099,URVAN,445310,ESTADO DE MEXICO,ECONOMIA INFORMAL,0,15000,FAMILIA O PADRES,1,,,
2334005,VERSA,275400,JALISCO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2338030,MARCH,162802,QUERETARO,EMPLEADO PRIVADO,0,11658,RENTADA,1,,,
2343022,MARCH,211902,DURANGO,TAXISTA,0,16000,PROPIETARIO,1,,,
2345049,MARCH,228200,SINALOA,ECONOMIA INFORMAL,0,15000,PROPIETARIO,1,,,
2345118,MARCH,228200,ESTADO DE MEXICO,NEGOCIO PROPIO,0,30000,PROPIETARIO,1,,,
2346024,VERSA,275400,JALISCO,EMPLEADO PRIVADO,0,9500,PROPIA (PAGANDO),1,,,
2347107,SENTRA,284801,CIUDAD DE MEXICO,TAXISTA,0,30000,FAMILIA O PADRES,1,,,
2348121,VERSA,255602,JALISCO,EMPLEADO PRIVADO,0,4000,RENTADA,1,,,
2354093,VERSA,218500,JALISCO,EMPLEADO PRIVADO,0,2800,RENTADA,1,,,
2355073,VERSA,275400,CHIHUAHUA,EMPLEADO PRIVADO,0,18900,PROPIETARIO,1,,,
2358055,SENTRA,296501,JALISCO,EMPLEADO PRIVADO,0,6000,FAMILIA O PADRES,1,,,
2358094,VERSA,248000,QUERETARO,ECONOMIA INFORMAL,0,3500,PROPIETARIO,1,,,
2359075,VERSA,255602,CHIHUAHUA,EMPLEADO PRIVADO,0,0,PROPIETARIO,1,,,
2363057,VERSA,195601,TAMAULIPAS,EMPLEADO PRIVADO,0,14594.33,PROPIETARIO,1,,,
2365028,VERSA,255801,JALISCO,TAXISTA,0,2200,PROPIETARIO,1,,,
2366035,MARCH,216800,PUEBLA,EMPLEADO PRIVADO,0,1960,PROPIETARIO,1,,,
2366078,MARCH,211902,MORELOS,EMPLEADO PRIVADO,0,4400,PROPIA (PAGANDO),1,,,
2367081,SENTRA,267800,SAN LUIS POTOSI,TAXISTA,0,28000,FAMILIA O PADRES,1,,,
2368008,VERSA,255602,GUANAJUATO,NEGOCIO PROPIO,0,26325,FAMILIA O PADRES,1,,,
2370103,VERSA,275400,GUANAJUATO,EMPLEADO PRIVADO,0,25000,PROPIETARIO,1,,,
2372047,MARCH,215200,SINALOA,NEGOCIO PROPIO,0,45000,PROPIETARIO,1,,,
2373063,URVAN,447400,GUERRERO,TAXISTA,0,0,FAMILIA O PADRES,1,,,
2379021,MARCH,211902,MORELOS,TAXISTA,0,12000,FAMILIA O PADRES,1,,,
2379080,VERSA,261900,TLAXCALA,ECONOMIA INFORMAL,0,36000,PROPIETARIO,1,,,
2383091,VERSA,201700,ESTADO DE MEXICO,OTROS,0,10687.9,FAMILIA O PADRES,1,,,
2388123,SENTRA,289601,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,18901,FAMILIA O PADRES,1,,,
2389110,VERSA,267700,GUANAJUATO,TAXISTA,0,28000,PROPIETARIO,1,,,
2392041,MARCH,194600,CHIHUAHUA,EMPLEADO PRIVADO,0,15000,FAMILIA O PADRES,1,,,
2392115,SENTRA,291700,CIUDAD DE MEXICO,EMPLEADO PRIVADO,0,8000,PROPIETARIO,1,,,
2395121,VERSA,223700,DURANGO,EMPLEADO PRIVADO,0,0,PROPIETARIO,1,,,
2397112,MARCH,216600,TAMAULIPAS,TAXISTA,0,22000,PROPIETARIO,1,,,
2401089,VERSA,275400,CIUDAD DE MEXICO,TAXISTA,0,5000,PROPIETARIO,1,,,
2402080,VERSA,292800,CIUDAD DE MEXICO,TAXISTA,0,16580.14,FAMILIA O PADRES,1,,,
2404096,VERSA,266201,DURANGO,TAXISTA,0,19000,FAMILIA O PADRES,1,,,
2405049,MARCH,273200,CHIHUAHUA,OTROS,0,2100,PROPIETARIO,1,,,
2405082,VERSA,213800,TABASCO,TAXISTA,0,25000,PROPIETARIO,1,,,
2405125,URVAN,464400,TLAXCALA,TAXISTA,0,39000,FAMILIA O PADRES,1,,,
2406006,VERSA,271000,CIUDAD DE MEXICO,TAXISTA,0,1,FAMILIA O PADRES,1,,,
2408109,VERSA,229801,BAJA CALIFORNIA NORTE,EMPLEADO PRIVADO,0,2600,RENTADA,1,,,
2411109,URVAN,412400,PUEBLA,TAXISTA,0,3500,FAMILIA O PADRES,1,,,
2412102,MARCH,216100,VERACRUZ,NEGOCIO PROPIO,0,5000,PROPIETARIO,1,,,
2414043,VERSA,273200,JALISCO,EMPLEADO PRIVADO,0,2400,RENTADA,1,,,
2414099,MARCH,221100,CHIHUAHUA,OTROS,0,15700,FAMILIA O PADRES,1,,,
2415039,VERSA,304500,CIUDAD DE MEXICO,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2419052,MARCH,243100,MICHOACAN,NEGOCIO PROPIO,0,17000,FAMILIA O PADRES,1,,,
2420092,VERSA,280600,JALISCO,EMPLEADO PRIVADO,0,40000,FAMILIA O PADRES,1,,,
2425049,VERSA,263520,MORELOS,EMPLEADO PRIVADO,0,19000,PROPIETARIO,1,,,
2428052,VERSA,292800,ESTADO DE MEXICO,EMPLEADO DE GOBIERNO,0,25605,FAMILIA O PADRES,1,,,
2432069,NP300,357900,MORELOS,ECONOMIA INFORMAL,0,42000,PROPIETARIO,1,,,
2433073,VERSA,270432,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,5000,FAMILIA O PADRES,1,,,
2435003,MARCH,204800,BAJA CALIFORNIA NORTE,EMPLEADO PRIVADO,0,12000,PROPIETARIO,1,,,
2435077,VERSA,305800,CIUDAD DE MEXICO,TAXISTA,0,35000,PROPIETARIO,1,,,
5185002,VERSA,255602,CHIAPAS,TAXISTA,0,25000,PROPIETARIO,1,,,
8593040,MARCH,211902,TAMAULIPAS,TAXISTA,0,0,FAMILIA O PADRES,1,,,
8594063,MARCH,171100,VERACRUZ,TAXISTA,0,0,FAMILIA O PADRES,1,,,
8596084,MARCH,211902,TAMAULIPAS,TAXISTA,0,23000,FAMILIA O PADRES,1,,,
2294095,VERSA,223501,TAMAULIPAS,TAXISTA,0,22000,FAMILIA O PADRES,1,,,
2310099,VERSA,250301,JALISCO,TAXISTA,0,2000,RENTADA,1,,,
2311014,MARCH,201901,MORELOS,TAXISTA,0,0,PROPIETARIO,1,,,
2316110,VERSA,247700,MICHOACAN,EMPLEADO PRIVADO,0,17000,PROPIETARIO,1,,,
2319105,VERSA,206001,SAN LUIS POTOSI,TAXISTA,0,18000,FAMILIA O PADRES,1,,,
2319124,VERSA,248601,JALISCO,TAXISTA,0,2600,FAMILIA O PADRES,1,,,
2320055,VERSA,199801,OAXACA,NEGOCIO PROPIO,0,0,FAMILIA O PADRES,1,,,
2320066,MARCH,201901,MORELOS,TAXISTA,0,22000,PROPIETARIO,1,,,
2320119,VERSA,250301,PUEBLA,ECONOMIA INFORMAL,0,200,PROPIETARIO,1,,,
2322055,MARCH,201901,TAMAULIPAS,TAXISTA,0,1800,FAMILIA O PADRES,1,,,
2323034,SENTRA,283102,ESTADO DE MEXICO,TAXISTA,0,30000,FAMILIA O PADRES,1,,,
2324010,VERSA,211774,SAN LUIS POTOSI,TAXISTA,0,28000,PROPIETARIO,1,,,
2324025,VERSA,266800,JALISCO,EMPLEADO PRIVADO,0,23000,FAMILIA O PADRES,1,,,
2326049,VERSA,250301,MICHOACAN,TAXISTA,0,0,PROPIETARIO,1,,,
2327014,MARCH,222001,MICHOACAN,TAXISTA,0,25000,RENTADA,1,,,
2329030,VERSA,275400,JALISCO,EMPLEADO PRIVADO,0,7800,PROPIA (PAGANDO),1,,,
2329049,VERSA,250301,COAHUILA,EMPLEADO PRIVADO,0,3000,PROPIETARIO,1,,,
2329059,MARCH,201901,TAMAULIPAS,TAXISTA,0,18500,FAMILIA O PADRES,1,,,
2330073,KICKS,344502,SINALOA,ECONOMIA INFORMAL,0,4600,PROPIETARIO,1,,,
2335035,MARCH,229002,VERACRUZ,ECONOMIA INFORMAL,0,13500,PROPIETARIO,1,,,
2335088,VERSA,272001,CIUDAD DE MEXICO,NEGOCIO PROPIO,0,16000,FAMILIA O PADRES,1,,,
2338050,NP300,314600,TABASCO,OTROS,0,8000,FAMILIA O PADRES,1,,,
2338058,VERSA,211400,TAMAULIPAS,TAXISTA,0,22000,PROPIETARIO,1,,,
2341013,MARCH,251801,JALISCO,EMPLEADO PRIVADO,0,3000,RENTADA,1,,,
2345057,SENTRA,278300,JALISCO,EMPLEADO PRIVADO,0,3000,FAMILIA O PADRES,1,,,
2346072,MARCH,199301,VERACRUZ,EMPLEADO PRIVADO,0,41000,PROPIETARIO,1,,,
2347039,MARCH,228200,MICHOACAN,TAXISTA,0,28000,FAMILIA O PADRES,1,,,
2347077,VERSA,255602,CIUDAD DE MEXICO,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2348113,VERSA,272001,MORELOS,EMPLEADO PRIVADO,0,13000,PROPIETARIO,1,,,
2351050,MARCH,211902,TAMAULIPAS,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2351108,URVAN,514600,TABASCO,NEGOCIO PROPIO,0,60000,PROPIETARIO,1,,,
2353062,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,40000,FAMILIA O PADRES,1,,,
2355034,NP300,288301,TABASCO,NEGOCIO PROPIO,0,0,PROPIETARIO,1,,,
2355068,MARCH,183900,JALISCO,OTROS,0,20000,FAMILIA O PADRES,1,,,
2355070,MARCH,211902,TAMAULIPAS,TAXISTA,0,22000,PROPIETARIO,1,,,
2357112,SENTRA,296501,JALISCO,EMPLEADO PRIVADO,0,3500,PROPIETARIO,1,,,
2359049,MARCH,211902,COAHUILA,TAXISTA,0,19000,PROPIETARIO,1,,,
2360111,MARCH,211902,TAMAULIPAS,TAXISTA,0,24000,FAMILIA O PADRES,1,,,
2361111,VERSA,217601,ESTADO DE MEXICO,TAXISTA,0,18000,FAMILIA O PADRES,1,,,
2362032,MARCH,211902,TAMAULIPAS,TAXISTA,0,0,FAMILIA O PADRES,1,,,
2363003,MARCH,157101,SINALOA,EMPLEADO PRIVADO,0,170000,FAMILIA O PADRES,1,,,
2364017,MARCH,211902,VERACRUZ,ECONOMIA INFORMAL,0,19800,PROPIETARIO,1,,,
2365001,VERSA,255602,JALISCO,TAXISTA,0,22000,PROPIETARIO,1,,,
2365050,VERSA,251801,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,2800,RENTADA,1,,,
2365064,SENTRA,296501,JALISCO,EMPLEADO PRIVADO,0,2000,PROPIETARIO,1,,,
2366006,VERSA,223700,VERACRUZ,TAXISTA,0,21000,FAMILIA O PADRES,1,,,
2368053,VERSA,255801,PUEBLA,EMPLEADO PRIVADO,0,5000,RENTADA,1,,,
2368086,MARCH,211902,MORELOS,TAXISTA,0,0,FAMILIA O PADRES,1,,,
2369052,MARCH,211902,TAMAULIPAS,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2369075,VERSA,255602,JALISCO,EMPLEADO PRIVADO,0,8000,PROPIETARIO,1,,,
2370039,MARCH,211902,ESTADO DE MEXICO,TAXISTA,0,21000,FAMILIA O PADRES,1,,,
2371078,VERSA,272001,DURANGO,EMPLEADO PRIVADO,0,10000,PROPIETARIO,1,,,
2373089,VERSA,226626,CHIAPAS,TAXISTA,0,18500,PROPIETARIO,1,,,
2373106,MARCH,211402,ESTADO DE MEXICO,TAXISTA,0,21000,PROPIETARIO,1,,,
2374058,MARCH,216600,DURANGO,EMPLEADO PRIVADO,0,8000,PROPIETARIO,1,,,
2374069,SENTRA,293400,ZACATECAS,NEGOCIO PROPIO,0,21000,FAMILIA O PADRES,1,,,
2375058,VERSA,251801,TAMAULIPAS,TAXISTA,0,23000,PROPIETARIO,1,,,
2376068,VERSA,223700,DURANGO,TAXISTA,0,19000,FAMILIA O PADRES,1,,,
2376085,MARCH,228200,GUANAJUATO,EMPLEADO PRIVADO,0,18000,FAMILIA O PADRES,1,,,
2381011,MARCH,216600,SONORA,EMPLEADO PRIVADO,0,3310,FAMILIA O PADRES,1,,,
2381096,MARCH,216600,SONORA,ECONOMIA INFORMAL,0,11911,FAMILIA O PADRES,1,,,
2381101,SENTRA,307900,ESTADO DE MEXICO,TAXISTA,0,24000,FAMILIA O PADRES,1,,,
2386083,MARCH,233900,MORELOS,EMPLEADO PRIVADO,0,2200,RENTADA,1,,,
2387115,SENTRA,346803,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,32000,PROPIETARIO,1,,,
2388040,MARCH,206602,GUERRERO,ECONOMIA INFORMAL,0,21000,FAMILIA O PADRES,1,,,
2388082,VERSA,228200,CHIAPAS,TAXISTA,0,18000,PROPIETARIO,1,,,
2389062,MARCH,216600,DURANGO,EMPLEADO PRIVADO,0,1500,PROPIETARIO,1,,,
2389096,SENTRA,271000,CIUDAD DE MEXICO,EMPLEADO PRIVADO,0,1900,RENTADA,1,,,
2393005,VERSA,272400,JALISCO,EMPLEADO PRIVADO,0,1800,PROPIETARIO,1,,,
2393050,MARCH,233900,MORELOS,EMPLEADO PRIVADO,0,1700,RENTADA,1,,,
2395061,MARCH,216600,DURANGO,TAXISTA,0,20000,PROPIETARIO,1,,,
2395083,VERSA,255801,SONORA,EMPLEADO PRIVADO,0,0,FAMILIA O PADRES,1,,,
2396067,MARCH,233900,CIUDAD DE MEXICO,EMPLEADO PRIVADO,0,14300,FAMILIA O PADRES,1,,,
2398069,URVAN,462300,TLAXCALA,TAXISTA,0,39000,PROPIETARIO,1,,,
2398097,MARCH,216600,MICHOACAN,TAXISTA,0,22000,FAMILIA O PADRES,1,,,
2398103,MARCH,216600,TAMAULIPAS,TAXISTA,0,3000,FAMILIA O PADRES,1,,,
2400052,VERSA,228200,VERACRUZ,TAXISTA,0,19000,FAMILIA O PADRES,1,,,
2401088,VERSA,216700,CIUDAD DE MEXICO,NEGOCIO PROPIO,0,0,PROPIETARIO,1,,,
2401096,MARCH,218600,SONORA,EMPLEADO PRIVADO,0,4000,FAMILIA O PADRES,1,,,
2402054,VERSA,223700,VERACRUZ,TAXISTA,0,1950,FAMILIA O PADRES,1,,,
2403011,VERSA,266000,ESTADO DE MEXICO,TAXISTA,0,38000,FAMILIA O PADRES,1,,,
2403014,VERSA,223700,VERACRUZ,TAXISTA,0,18000,PROPIETARIO,1,,,
2404093,VERSA,310501,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,20000,PROPIETARIO,1,,,
2405033,MARCH,211402,MORELOS,EMPLEADO PRIVADO,0,5000,PROPIETARIO,1,,,
2405090,VERSA,292800,CIUDAD DE MEXICO,TAXISTA,0,240,RENTADA,1,,,
2408122,VERSA,273200,CIUDAD DE MEXICO,EMPLEADO PRIVADO,0,10000,FAMILIA O PADRES,1,,,
2409091,VERSA,289800,JALISCO,TAXISTA,0,30000,FAMILIA O PADRES,1,,,
2411105,URVAN,542200,SAN LUIS POTOSI,TAXISTA,0,4500,FAMILIA O PADRES,1,,,
2413105,VERSA,310000,SONORA,TAXISTA,0,3000,PROPIETARIO,1,,,
2416025,VERSA,305400,JALISCO,EMPLEADO PRIVADO,0,1600,FAMILIA O PADRES,1,,,
2416116,VERSA,244000,ESTADO DE MEXICO,OTROS,0,0,FAMILIA O PADRES,1,,,
2417119,VERSA,305600,JALISCO,EMPLEADO PRIVADO,0,15000,RENTADA,1,,,
2417125,VERSA,244000,JALISCO,EMPLEADO PRIVADO,0,21687,PROPIETARIO,1,,,
2420023,VERSA,267700,CIUDAD DE MEXICO,EMPLEADO DE GOBIERNO,0,20000,PROPIETARIO,1,,,
